expName,expType,useLinear,useMetric,matchingMethod,selectionMethod,weightingMethod,rejectionMethod,useMultiresolution,numIterations,maxMatchingDist,samplingProba
bunny082,bunny,0,0,0,1,2,0,1,20,0.0003,0.5
bunny083,bunny,0,0,0,1,2,1,1,20,0.0003,0.5
bunny084,bunny,0,1,0,0,0,0,1,20,0.0003,1
bunny085,bunny,0,1,0,0,0,1,1,20,0.0003,1
bunny086,bunny,0,1,0,0,1,0,1,20,0.0003,1
bunny087,bunny,0,1,0,0,1,1,1,20,0.0003,1
bunny088,bunny,0,1,0,0,2,0,1,20,0.0003,1
bunny089,bunny,0,1,0,0,2,1,1,20,0.0003,1
bunny090,bunny,0,1,0,1,0,0,1,20,0.0003,0.5
bunny091,bunny,0,1,0,1,0,1,1,20,0.0003,0.5
bunny092,bunny,0,1,0,1,1,0,1,20,0.0003,0.5
bunny093,bunny,0,1,0,1,1,1,1,20,0.0003,0.5
bunny094,bunny,0,1,0,1,2,0,1,20,0.0003,0.5
bunny095,bunny,0,1,0,1,2,1,1,20,0.0003,0.5
bunny096,bunny,0,2,0,0,0,0,1,20,0.0003,1
bunny097,bunny,0,2,0,0,0,1,1,20,0.0003,1
bunny098,bunny,0,2,0,0,1,0,1,20,0.0003,1
bunny099,bunny,0,2,0,0,1,1,1,20,0.0003,1
bunny100,bunny,0,2,0,0,2,0,1,20,0.0003,1
bunny101,bunny,0,2,0,0,2,1,1,20,0.0003,1
bunny102,bunny,0,2,0,1,0,0,1,20,0.0003,0.5
bunny103,bunny,0,2,0,1,0,1,1,20,0.0003,0.5
bunny104,bunny,0,2,0,1,1,0,1,20,0.0003,0.5
bunny105,bunny,0,2,0,1,1,1,1,20,0.0003,0.5
bunny106,bunny,0,2,0,1,2,0,1,20,0.0003,0.5
bunny107,bunny,0,2,0,1,2,1,1,20,0.0003,0.5
bunny108,bunny,1,0,0,0,0,0,1,20,0.0003,1
bunny109,bunny,1,0,0,0,0,1,1,20,0.0003,1
bunny110,bunny,1,0,0,0,1,0,1,20,0.0003,1
bunny111,bunny,1,0,0,0,1,1,1,20,0.0003,1
bunny112,bunny,1,0,0,0,2,0,1,20,0.0003,1
bunny113,bunny,1,0,0,0,2,1,1,20,0.0003,1
bunny114,bunny,1,0,0,1,0,0,1,20,0.0003,0.5
bunny115,bunny,1,0,0,1,0,1,1,20,0.0003,0.5
bunny116,bunny,1,0,0,1,1,0,1,20,0.0003,0.5
bunny117,bunny,1,0,0,1,1,1,1,20,0.0003,0.5
bunny118,bunny,1,0,0,1,2,0,1,20,0.0003,0.5
bunny119,bunny,1,0,0,1,2,1,1,20,0.0003,0.5
bunny120,bunny,1,1,0,0,0,0,1,20,0.0003,1
bunny121,bunny,1,1,0,0,0,1,1,20,0.0003,1
bunny122,bunny,1,1,0,0,1,0,1,20,0.0003,1
bunny123,bunny,1,1,0,0,1,1,1,20,0.0003,1
bunny124,bunny,1,1,0,0,2,0,1,20,0.0003,1
bunny125,bunny,1,1,0,0,2,1,1,20,0.0003,1
bunny126,bunny,1,1,0,1,0,0,1,20,0.0003,0.5
bunny127,bunny,1,1,0,1,0,1,1,20,0.0003,0.5
bunny128,bunny,1,1,0,1,1,0,1,20,0.0003,0.5
bunny129,bunny,1,1,0,1,1,1,1,20,0.0003,0.5
bunny130,bunny,1,1,0,1,2,0,1,20,0.0003,0.5
bunny131,bunny,1,1,0,1,2,1,1,20,0.0003,0.5
bunny132,bunny,1,2,0,0,0,0,1,20,0.0003,1
bunny133,bunny,1,2,0,0,0,1,1,20,0.0003,1
bunny134,bunny,1,2,0,0,1,0,1,20,0.0003,1
bunny135,bunny,1,2,0,0,1,1,1,20,0.0003,1
bunny136,bunny,1,2,0,0,2,0,1,20,0.0003,1
bunny137,bunny,1,2,0,0,2,1,1,20,0.0003,1
bunny138,bunny,1,2,0,1,0,0,1,20,0.0003,0.5
bunny139,bunny,1,2,0,1,0,1,1,20,0.0003,0.5
bunny140,bunny,1,2,0,1,1,0,1,20,0.0003,0.5
bunny141,bunny,1,2,0,1,1,1,1,20,0.0003,0.5
bunny142,bunny,1,2,0,1,2,0,1,20,0.0003,0.5
bunny143,bunny,1,2,0,1,2,1,1,20,0.0003,0.5
